"professor","Course.Name","Survey.Period","Svy.Rcv","Exp","X.","I.would.recommend.this.professor.to.other.students","When.I.sought.consultation.about.this.course..the.professor.was.available.outside.of.class.time","I.received.adequate.supervision.over.my.work.on.the.project","I.received.my.placement.in.a.timely.fashion","I.received.the.project.in.a.timely.fashion","In.the.course.of.working.on.my.clinic.projects..I.received.thorough.and.useful.supervision","My.experience.at.the.field.placement.was.positive","My.experience.in.the.field.work.component.enhanced.my.understanding.and.the.insights.I.gained.in.the","The.class.covered.meaningful.and.worthwhile.subject.matter.","The.class.improved.my.lawyering.skills","The.clinic.has.improved.my.ability.to.function.as.a.lawyer","The.clinic.projects.and.classroom.components.of.the.course.were.integrated.effectively","The.professor.adjusted.the.class.for.the.online.distance.learning.format","The.professor.s.feedback.on.my.project.work.was.helpful.in.revising.my.work","The.project.was.well.defined","The.readings.were.useful.and.well.integrated.into.the.course.and.or.provided.helpful.background.for","The.seminar.classes.enhanced.the.field.work.component","How.well.has.the.professor.adjusted.the.class.for.the.online.environment.","I.had.a.helpful.personal.consultation.with.the.professor.about.my.draft.paper","I.received.helpful.guidance.regarding.research.strategy.from.the.professor.and.or.from.a.guest.lectu","The.professor.adjusted.the.class.for.the.online.environment.","The.professor.challenged.students.to.think.critically","The.professor.created.a.learning.environment.that.was.hospitable.to.all.students","The.professor.provided.detailed.written.feedback.on.my.preliminary.draft.s..of.the.paper","The.professor.provided.timely.and.useful.comments.on.my.outline.or.other.preparatory.written.product","The.professor.taught.the.course.well","The.professor.s.feedback.on.the.preliminary.draft.s..was.will.be.helpful.in.revising.my.paper","n_courses"
"Shah, Shruti","Externship I Seminar",202120,12.5,15.5,80.5,3.95,3.75,NA,NA,NA,NA,NA,NA,3.65,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,3.9,4.5,NA,NA,3.95,NA,2
"Shakin, Edward","Communications Law & Policy",201960,12,21,56.5,4.25,4.4,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,3.95,NA,NA,NA,NA,NA,4.35,4.8,NA,NA,4.3,NA,2
"Shakin, Edward","Communications Law: Internet",202030,11,15.4,72,4.58,4.9,NA,NA,NA,NA,NA,NA,4.68,NA,NA,NA,NA,NA,NA,4.5,NA,NA,4.867,4.033,NA,4.68,4.9,4.8,4.867,4.66,4.8,5
"Shamir, Hila","Human Trafficking: Labor App",201930,6,11,55,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Shanedling, Abraham","US Legal Res. Anlsys & Writing",201880,9.5,9.5,100,4.5,4.55,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.55,4.4,NA,NA,4.5,NA,2
"Sharp, Zoe","Professional Responsibility",202210,19,30,63,3.6,4.6,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.1,4.2,NA,NA,3.8,NA,1
"Sharpe, Ronald","Trial Practice",202230,5,5,100,4.8,4.5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,4.6,5,NA,NA,5,NA,1
"Sharuk, Deena","Center for Applied Legal Studi",202020,10,12,83.5,4.95,4.925,NA,NA,NA,4.8,NA,NA,4.925,NA,4.95,4.65,NA,NA,NA,4.575,NA,NA,NA,NA,NA,5,4.95,NA,NA,4.95,NA,4
"Shaw, Bruce","Business and Capitalism",202230,16,22,73,4.9,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,4.8,NA,1
"Shaw, Theodore","Criminal Def & Pris Adv Clinic",202110,12,14,86,4.8,4.8,NA,NA,NA,4.5,NA,NA,5,NA,4.9,4.8,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.8,NA,1
"Shaw, Weili","Intro to U.S. Con Law",202210,5,5,100,4.8,4.8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,4.8,NA,1
"Sheaks, Chantel","Emp Ben: Health & Welfare Plan",201930,7.333,12,60.667,4.767,4.933,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.767,NA,NA,NA,NA,NA,4.733,4.9,NA,NA,4.8,NA,3
"Shelanski, Howard","Antitrust Law",201983.333,39,86.333,45.333,4.767,4.5,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.7,4.833,NA,NA,4.733,NA,3
"Shelanski, Howard","Antitrust Law: Survy Shermn Ac",202190,20.333,43.667,48,4.833,4.5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.8,4.833,NA,NA,4.867,NA,3
"Shelanski, Howard","Antitrust Seminar: Frm Chicago",202230,9,17,53,5,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,4.8,4,NA,5,5,4.7,4.8,5,4.6,1
"Shelanski, Howard","Government Processes",202110,24,56,42.667,4,4,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.233,4.433,NA,NA,4.1,NA,3
"Shenkman, Ethan","Environmental Law",202060,8.75,19.75,46,3.95,4.125,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.275,4.6,NA,NA,4.05,NA,4
"Shenkman, Michael","Courts and Congress",202230,12,22,55,4.8,4.5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.8,4.7,NA,NA,4.8,NA,1
"Sherman, Andrew","Entrepreneurship and the Law",202010,17.333,46.667,36,4.633,4.633,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.567,4.833,NA,NA,4.7,NA,3
"Sherman, Donald","Externship II Seminar",202010,4,10,40,4.8,4.8,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,4.5,4.8,NA,NA,4.8,NA,1
"Shulman, Jeffrey","Constitutional Law II",202074,16.4,39.2,42.8,4.66,4.8,NA,NA,NA,NA,NA,NA,4.92,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.82,4.74,NA,NA,4.68,NA,5
"Shulman, Jeffrey","Evenings with Outlaws Seminar",202130,9,14,64,4.9,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.4,NA,NA,5,4.6,NA,5,5,4.7,4.7,4.9,4.8,1
"Shulman, Jeffrey","Legal Practice: Writ/Analysis",201990,18,48.25,36.25,4.45,4.675,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,NA,4.275,NA,NA,NA,NA,NA,4.5,4.65,NA,NA,4.4,NA,4
"Shulman, Jeffrey","Legal Practice: Writing and Analysis",201830,50,53,94,4.8,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.6,4.8,NA,NA,4.7,NA,1
"Shulman, Jeffrey","Legal Writing Sem:Theory&Pract",202010,2.333,6,36.667,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,NA,5,5,5,5,5,5,3
"Shulman, Jeffrey","Legal Writing Seminar: Theory and Practice for Law Fellows",201830,5,6,83,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,NA,5,5,5,5,5,5,1
"Shulman, Jeffrey","Parent, Child, and State",201970,6.5,10.5,62.5,4.9,4.8,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,4.95,4.85,NA,4.95,5,4.8,4.95,4.95,4.9,2
"Shur-Ofry, Michal","Sports, Media & IP Law Sem",201910,10,18,56,4.5,4.5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.8,4.8,NA,NA,4.6,NA,1
"Siegler, Douglas","Adv Priv Wealth Planning Sem",202090,2.4,7.6,35.6,4.56,4.66,NA,NA,NA,NA,NA,NA,4.94,NA,NA,NA,NA,NA,NA,4.5,NA,4.5,NA,NA,NA,4.84,4.74,NA,NA,4.66,NA,5
"Siemion, Rita","Foreign Relations Law",201930,9,13,69,4.9,4.8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,5,5,NA,NA,4.9,NA,1
"Siemion, Rita","Intl Law & Covert Operations",201910,10,13,77,4.5,4.3,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.7,NA,1
"Siemion, Rita","Use of Force & HR in Intl Law",201960,15,20,76,4.45,4.4,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.75,NA,NA,4,3.75,NA,4.7,4.6,3,3.35,4.45,3,2
"Siemion, Rita","Use of Force, Natl Sec, & HR",202160,9,11,87.5,4.6,4.7,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.55,NA,NA,3.8,4,NA,4.6,4.6,3.8,3.5,4.6,3.5,2
"Siemion, Rita","War Crimes Terrsm Intl CrimPro",202230,12,14,86,4.8,4.6,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.8,NA,1
"Sierck, Alexander","Intl White Collar Crime",202007.778,6.333,10.222,60,4.122,4.311,NA,NA,NA,NA,NA,NA,4.633,NA,NA,NA,NA,NA,NA,4.167,NA,1,NA,NA,NA,4.578,4.844,NA,NA,4.078,NA,9
"Silberman, Jared","Biosecurity and the Law",201980,12.25,16.5,74.25,3.925,4.325,NA,NA,NA,NA,NA,NA,4.325,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4.2,4.55,NA,NA,4,NA,4
"Silberman, Jared","The Nuremberg Trials",202110,9,16,56,4.533,4.633,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.567,NA,NA,NA,NA,NA,4.9,4.867,NA,NA,4.4,NA,3
"Silberman, Laurence","Administrative Law",201880,47,64.5,73.5,4.25,3.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,4.8,4.2,NA,NA,4.45,NA,2
"Silberman, Laurence","Labor Law",201910,5,13,38,4,4,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.8,3.6,NA,NA,4,NA,1
"Silberman, Mallory","Advocacy in Int'l Arb",201910,15,19,79,4.6,4.1,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.3,4.6,NA,NA,4.5,NA,1
"Silk, James","Hedge Funds Prvte Equity Funds",201910,8.5,17,41.5,4.5,4.3,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,4.5,4.25,4.7,NA,NA,4.5,NA,2
"Silver, Blair","Patent Trial Practice",202210,3,5,60,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Silverman, Nicholas","US Legal Res. Anlsys & Writing",202130,12,15,80,4.9,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,5,5,NA,NA,4.9,NA,1
"Simcock, Julian","Immunity Under Intl Law",201910,7,14,50,5,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Simmons, David","Employment Discrimination",202046,12.8,16,79,4.44,4.66,NA,NA,NA,NA,NA,NA,4.92,NA,NA,NA,NA,NA,NA,4.66,NA,NA,NA,NA,NA,4.74,4.52,NA,NA,4.56,NA,5
"Simon, Korica","Surveillance & Civil Rts Pract",202230,12,15,80,5,4.9,NA,5,NA,NA,4.8,4.8,5,4.9,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,NA,NA,4.8,5,NA,NA,4.9,NA,1
"Simonoff, Jessica","Intl Law I: Intro to Intl Law",202040,16.75,28.75,57.5,3.95,4.35,NA,NA,NA,NA,NA,NA,4.575,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.4,4.625,NA,NA,4.1,NA,4
"Simpkins, Cheri","Prof Responsibility Law in US",202230,63,78,81,4,4.5,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.2,4.4,NA,NA,4,NA,1
"Simshaw, Drew","Legal Practice: Writ/Analysis",201910,44,53,83,4.9,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.7,5,NA,NA,4.8,NA,1
"Simshaw, Drew","Legal Practice: Writing and Analysis",201830,47,53,89,4.7,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.5,5,NA,NA,4.6,NA,1
"Simshaw, Drew","Legal Writing Sem:Theory&Pract",201910,5,6,83,4.8,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,5,4.8,NA,5,5,5,4.8,4.8,5,1
"Simshaw, Drew","Legal Writing Seminar: Theory and Practice for Law Fellows",201830,5,6,83,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Singer, Sam","US Legal Res. Anlsys & Writing",201880,9,11,82,3.3,3.95,NA,NA,NA,NA,NA,NA,3.45,NA,NA,NA,NA,NA,NA,3.85,NA,NA,NA,NA,NA,3.7,3.8,NA,NA,3.5,NA,2
"Singh, Amrita","Externship I Seminar",202016.667,8.667,15.333,56.667,4.4,4.9,NA,NA,NA,NA,NA,NA,3.033,NA,NA,NA,NA,NA,NA,3.133,NA,NA,NA,NA,NA,4.067,4.867,NA,NA,4.467,NA,3
"Singh, Amrita","Externship II Seminar",201915,6,8.5,63.5,4,4.8,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,3.9,4.9,NA,NA,4,NA,2
"Sirota, Rima","Legal Practice: Writ/Analysis",202094,41,52,79.2,4.88,5,NA,NA,NA,NA,NA,NA,4.92,NA,NA,NA,NA,NA,NA,4.48,NA,NA,NA,NA,NA,4.76,4.94,NA,NA,4.86,NA,5
"Sirota, Rima","Legal Writing Sem:Theory&Pract",202094,5.2,6,86.6,4.96,5,NA,NA,NA,NA,NA,NA,4.92,NA,NA,NA,NA,NA,NA,4.86,NA,NA,5,4.88,NA,4.96,4.96,5,5,4.96,5,5
"Sizemore, Ashley","Health Justice Alliance Law Cl",202120,9.5,11,87.5,4.775,4.925,NA,NA,NA,4.675,NA,NA,4.925,NA,4.775,4.675,NA,NA,NA,4.85,NA,NA,NA,NA,NA,4.75,4.8,NA,NA,4.75,NA,4
"Skocpol, Michael","Adv Legal Writing Seminar",202210,3,7,43,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Slade, Janine","Foreign Investment & Nat Secur",202060,6.5,15,44,3.6,3.75,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.1,4.3,NA,NA,4,NA,2
"Sloan, Cliff","Con Law I: Federal System",202160,38.5,52,74.5,4.9,4.9,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,4.8,4.95,NA,NA,4.95,NA,2
"Sloan, Cliff","Criminal Justice",202130,30.667,34.667,89.333,4.933,4.867,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.833,4.933,NA,NA,4.933,NA,3
"Sloan, Cliff","Death Penalty Litigation Pract",202160,7.5,10,75,5,5,4.95,NA,5,NA,NA,NA,5,NA,NA,NA,NA,4.85,4.9,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"Sloan, Cliff","The Death Penalty in America S",202180,14.5,17.5,82.5,4.85,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.85,NA,NA,4.9,4.45,NA,4.7,5,4.85,4.95,4.75,4.9,2
"Slobodian, Lydia","Environmental Lawyering",202230,10,14,71,4.9,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.9,5,NA,NA,4.8,NA,1
"Slobodian, Lydia","Environmental Research Workshp",202210,5,9,56,4.6,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,4,4.8,NA,4.8,4.8,3,5,4.8,4.3,1
"Slobodian, Lydia","Intl Environ Law in Practice",202120,6,9,69,4.9,5,4.7,NA,4.9,NA,NA,NA,5,NA,NA,NA,NA,4.85,3.95,4.55,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"Slobodian, Lydia","Intl Environmental Law",202230,27,30,90,4.9,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.8,NA,1
"Smiley, Stafford","Basic Principles of Finance",202001.429,26.429,93.429,28.857,4.5,4.529,NA,NA,NA,NA,NA,NA,4.329,NA,NA,NA,NA,NA,NA,4.329,NA,4.6,NA,NA,NA,4.271,4.557,NA,NA,4.457,NA,7
"Smiley, Stafford","Comparative Tax Law",201976.667,4.667,6.667,63.333,4.733,4.933,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.7,NA,5,NA,NA,NA,4.6,4.867,NA,NA,4.767,NA,3
"Smiley, Stafford","Est Plan: Sp Top Transfer Tax",201830,10,16,63,4.5,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.5,4.8,NA,NA,4.6,NA,1
"Smiley, Stafford","Federal Income Taxation",202080,17,22,74.5,4.5,4.75,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,4.45,4.75,NA,NA,4.65,NA,2
"Smiley, Stafford","Income Tax Accounting",201980,17.125,42.125,40.5,4.412,4.463,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,4.7,NA,NA,4.362,NA,4.7,NA,NA,NA,4.55,4.688,NA,NA,4.525,NA,8
"Smiley, Stafford","Tax of Property Transactions",201980,10,26.125,38,4.688,4.725,NA,NA,NA,NA,NA,NA,4.838,NA,NA,NA,5,NA,NA,4.513,NA,4.5,NA,NA,NA,4.638,4.812,NA,NA,4.7,NA,8
"Smith, Abbe","Criminal Def & Pris Adv Clinic",202060,10,13.75,72.25,4.85,4.825,NA,NA,NA,4.65,NA,NA,4.975,NA,4.85,4.475,NA,NA,NA,4.275,NA,NA,NA,NA,NA,4.85,4.9,NA,NA,4.825,NA,4
"Smith, Abbe","Lawyers' Ethics",202060,23.75,44,56.25,4.725,4.5,NA,NA,NA,NA,NA,NA,4.725,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,4.8,4.825,NA,NA,4.675,NA,4
"Smith, Christina","Externship I Seminar",202060,9.75,13,76.25,4.7,4.85,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,3.55,NA,NA,NA,NA,NA,4.4,4.925,NA,NA,4.85,NA,4
"Smith, Jamieson","Intl Efforts to Combat Corrupt",202060,7.5,14,52.5,4.8,4.875,NA,NA,NA,NA,NA,NA,4.975,NA,NA,NA,NA,NA,NA,4.525,NA,NA,NA,NA,NA,4.7,4.925,NA,NA,4.775,NA,4
"Smith, Michael","US Legal Res. Anlsys & Writing",202125,8.5,11,80.75,4.175,4.675,NA,NA,NA,NA,NA,NA,4.15,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.35,4.65,NA,NA,4.2,NA,4
"Smith, Paul","Con Law I: Federal System",202038,46,55.2,85.8,4.64,4.74,NA,NA,NA,NA,NA,NA,4.82,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,4.56,4.5,NA,NA,4.64,NA,5
"Smith, Paul","Election Law",202062,36.2,61.4,59.6,4.82,4.78,NA,NA,NA,NA,NA,NA,4.88,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.8,4.7,NA,NA,4.82,NA,5
"Smith, Paul","Fed Courts & the Fed System",202210,45,63,71,4.4,4.4,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.4,4.7,NA,NA,4.3,NA,1
"Smith, Paul","Law and Social Change Seminar",201930,12,20,60,5,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.9,4.8,NA,NA,4.9,NA,1
"Smith, Paul","Topics in LGBT Civil Rts Sem",202040,9.5,13.5,70.25,4.85,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.725,NA,NA,4.725,4,NA,4.875,4.725,4.425,4.75,4.875,4.7,4
"Smith, Russell","Intl Negotiations",202230,19,21,90,4.4,4.9,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.6,4.8,NA,NA,4.3,NA,1
"Smollar, Paul","Family Law I",201910,12,26,46,4.4,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.4,4.4,NA,NA,4.4,NA,1
"Smyczek, Jason","Private Equity & Hedge Funds: Taxation & Transactions",201820,1,2,50,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,5,NA,NA,5,NA,1
"Snodgrass, Elizabeth","Advocacy in Int'l Arb",202210,5,13,38,4,3.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.4,4.6,NA,NA,4,NA,1
"Snyder, Brad","Con Law I: Federal System",202050,23,46,52,3.933,4.533,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.6,4.233,NA,NA,4.033,NA,3
"Snyder, Brad","Constitutional Law II",202070,27,49,55.5,4.45,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.8,4.45,NA,NA,4.55,NA,2
"Snyder, Brad","Legal Justice Seminar",201830,14,23,61,4.6,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.9,4.5,NA,NA,4.5,NA,1
"Snyder, Brad","Sports Law",202160,21,40.5,52,4.5,4.8,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.85,4.65,NA,NA,4.5,NA,2
"Snyder, Brad","Warren Court Lgl Hist Sem",202080,8,18,43,4.5,4.95,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.45,NA,NA,4.7,4.25,NA,4.7,4.4,4.6,4.65,4.45,4.6,2
"Sofidiya, Itunu","Adv Legal Research",202060,5,18.5,26.5,4.6,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.65,4.85,NA,NA,4.7,NA,2
"Sofidiya, Itunu","Legal Research Skills for Prac",202230,7,23,30,5,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.8,5,NA,NA,5,NA,1
"Soledad, Gabriel","Initiating Cross-Border Litig",202160,7,11,61,3.85,3.45,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,4.35,4.6,NA,NA,4.1,NA,2
"Solomon, Eric","Corporate Income Tax Law II",202060,13.25,25,54,4.975,4.975,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,4.975,4.975,NA,NA,4.975,NA,4
"Solomon, Robin","Emp Ben: Qual Retirement Plans",202030,6.6,9,73.4,4.92,4.88,NA,NA,NA,NA,NA,NA,4.94,NA,NA,NA,NA,NA,NA,4.68,NA,NA,NA,NA,NA,4.86,5,NA,NA,4.92,NA,5
"Solum, Lawrence","Adv Constitutional Law Sem",201910,12,20,60,5,4.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,1
"Solum, Lawrence","Con Law I: Federal System",201830,32,36,89,4.4,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.9,4.7,NA,NA,4.5,NA,1
"Solum, Lawrence","Legal Process and Society",201916.667,81,112.333,72.333,4.767,4.167,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,4.9,4.633,NA,NA,4.833,NA,3
"Song, Yi","Foundations of Amer Law",202220,58,83,70,4.4,4.6,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.4,4.6,NA,NA,4.4,NA,1
"Song, Yi","US Legal Res. Anlsys & Writing",202160,13.6,15.4,89,4.46,4.9,NA,NA,NA,NA,NA,NA,4.68,NA,NA,NA,NA,NA,NA,4.74,NA,NA,NA,NA,NA,4.68,4.72,NA,NA,4.56,NA,5
"Songer, Michael","Law of Cyberspace",201980,21.5,42.5,50,4.4,4.3,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.6,4.6,NA,NA,4.6,NA,2
"Spann, Girardeau","Constitutional Law II",202060,72.75,125,58.25,4.85,4.825,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.825,NA,NA,NA,NA,NA,4.95,4.8,NA,NA,4.875,NA,4
"Spann, Girardeau","Contracts",202030,70.2,91.6,77.6,4.72,4.3,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,NA,4.78,NA,NA,NA,NA,NA,4.96,4.62,NA,NA,4.82,NA,5
"Spann, Girardeau","Torts",202030,64.4,90.2,71.2,4.68,4.52,NA,NA,NA,NA,NA,NA,4.82,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.88,4.68,NA,NA,4.72,NA,5
