Section Content,Course ID,Course Name,Course Limit,Prerequisite,Note,Recommended,Mutually Excluded Courses,Professor_1,Professor_1 Link,Professor_2,Professor_2 Link,Professor_3,Professor_3 Link,Time
"In this course, using clips from and simulations relating to popular TV shows, including Breaking Bad and Better Call Saul, we discuss privilege issues that come up in civil litigation. Because privilege issues arise in every aspect of a litigation—whether it be ensuring that proper measures are taken to preserve privilege or challenging an adversary’s improper assertion of privilege to gain access to relevant information—understanding the parameters of the attorney-client privilege, the work-product doctrine, and related privileges is a key component to zealous representation with which all litigators need to be familiar. For junior attorneys especially, knowing how to spot and understanding how to analyze potential privilege issues is a vital skill, as junior attorneys are frequently the first to come across these issues, during interviews of clients and witnesses, the review of documents in discovery, and depositions.
  This course is designed as an in-depth analysis of privilege issues that can arise during the lifecycle of a case, including the representation of multiple clients, the application of privilege within corporations and extending that privilege to its advisors, and compelling discovery improperly claimed as privileged. In this course, we will review the key concepts of privilege law through mini-lectures, discussions of scenes from TV shows, articles, and recent legal opinions, and engaging in hypothetical situations and role play of handling privilege issues with clients, opposing counsel, and in court. At the end of the course, students will have an understanding of the key privilege issues that arise in civil litigation, including knowing how to spot a potential privilege, evaluate the existence of the privilege, and address the issue.",LAW 1816 v00,Breaking Privilege: An In-Depth Analysis of Privilege Issues in the Context of Civil Litigation,Limit: 24,,"Note:
UPPERCLASS WEEK ONE COURSE: This course will meet for one week only on the following days: Monday, January 8, 2024 through Thursday, January 11, 2024, 6:00 p.m. - 10:00 p.m. This course is offered on a mandatory pass/fail basis and will not count toward the 7 credit pass/fail limit for J.D. students.
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. All enrolled and waitlisted students must be in attendance at the start of the first class session in order to be eligible for a seat in the class and must attend each class session in its entirety.
Note: Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar at lawreg@georgetown.edu. A student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from the Assistant Dean for Experiential Education. Withdrawals are permitted up until the last class for this specific course.
Note: Students should be prepared to dedicate a significant amount of time to this class over the course of the week outside of the scheduled class hours.",,,Valerie J. Ramos,https://www.law.georgetown.edu/faculty/?redirect=RzAwODUzNTMz,Serafina Concannon,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjM5MjAw,,,MTWTh 6:00pm-10:00pm (1/8 to 1/11)
This section is full,LAW 1817 v00,Breaking Privilege: An In-Depth Analysis of Privilege Issues in the Context of Civil Litigation (Week One Teaching Fellows),,,"Note:
THIS COURSE REQUIRES PROFESSOR PERMISSION TO ENROLL. Interested students must complete the online Week One Teaching Fellows Application Form. A resume and a 1-page statement of interest must be provided, as well. The Application Form will be made available to students in the latter half of September 2023. If you have any difficulty accessing the application or have questions about the application process, email lawexp@georgetown.edu.
This course is open to upperclass J.D., LL.M., and S.J.D. students.
WEEK ONE COURSE. This course will meet on the following days: Monday, January 8, 2024 through Thursday, January 11, 2024 during the class meeting times for the course. Additionally, teaching fellows will meet with their professors on two dates to be announced. Professors may schedule alternative and/or additional trainings as needed. This course is mandatory pass/fail and will not count toward the 7 credit pass/fail limit for J.D. students.
This course does not count toward the Experiential course requirement.
ATTENDANCE AT ALL CLASS SESSIONS AND FELLOW TRAININGS IS MANDATORY. After accepting an offer, the student may drop the course ONLY with the permission of the professors. Permission is granted only when remaining enrolled in the course would cause significant hardship to the student.",,"Mutually Excluded Courses:
Students who are enrolled in a Spring semester clinic should determine when any clinical meetings will take place during Week One to ensure there will be no conflict with their responsibilities as a fellow. In addition, because of the significant responsibilities each course requires during Week One, students who are enrolled in the Human Rights Advocacy in Action project-based practicum course may not concurrently enroll in a Teaching Fellow course.",Valerie J. Ramos,https://www.law.georgetown.edu/faculty/?redirect=RzAwODUzNTMz,Serafina Concannon,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjM5MjAw,,,MTWTh 6:00pm-10:00pm (1/8 to 1/11)
"Corporations today have a global scale as well as an impact that matches or sometimes exceeds that of governments. Their activities -- from sourcing of raw materials, to processing and production of intermediate or finished goods, to distribution and sale -- have major consequences not only for the human rights of their employees but also for the rights of the individuals and communities impacted by their operations. In many countries, government regulation and oversight are either absent or largely ineffective. Companies in turn struggle to define their responsibilities in the face of these ""governance gaps"" -- particularly where requirements under national law fall short of international standards in areas such as hours of work and safety and healthy.
A robust and often contentious debate over these issues culminated in the development of the U.N. Guiding Principles on Business and Human Rights (the “UNGPs”) under the leadership of Special Representative John Ruggie. These Principles establish a framework for considering the respective roles of governments and corporations and outline core concepts of human rights due diligence and effective remedy. In doing so, the UNGPs also inform and to some extent refocus efforts that have emerged over the past 20 years to address these governance gaps and have brought together stakeholders from business, labor, civil society, the investment community, and academia.
At the same time, in recent years there has been an increased push from civil society groups and certain governments to go beyond these ""voluntary"" efforts and develop a binding business and human rights treaty mechanism; this has met with strong opposition from business and many other governments, including the United States.
Even as ""non-regulatory"" approaches remain the predominant means of addressing various business and human rights challenges, there also has been a growing focus in recent years on tools through which national governments and international institutions could exercise greater leverage. This includes advocacy for stronger labor and other human rights language in trade agreements, one-way trade preference programs, procurement standards, and the rules and guidelines applied by international financial institutions -- coupled with more aggressive enforcement of those criteria. Expanded efforts to advance that ""regulatory"" approach in trade policy and elsewhere in some cases has been met with resistance from governments and business, but there also have been examples of emerging consensus among a diverse range of stakeholders.
This course introduces students to this quickly-evolving business and human rights landscape, including the diverse set of multi-stakeholder initiatives -- some, but not all, of which include government participation. We will discuss the guidance provided by the UNGPs and other instruments, the range of stakeholders and how they engage with one another, tools utilized by governments and corporations to implement human rights standards, and how all of these interact in the context of both sector-specific and cross-cutting legal and policy challenges.
Among the questions the course will examine are:
Which human rights standards are most relevant to business?
What are the appropriate linkages between business policies and practices and the promotion of human rights?
Which business and human rights approaches are emerging as “best practices"" and perhaps even as recognized norms?
What tools to support those are being used by governments and corporations?
Who are the principal stakeholders and what are their roles and objectives?
What are the strategies for addressing business and human rights ""governance gaps"" at the national and international levels?
What are the opportunities for increased integration of labor/human rights and trade policies, and what are the limitations?
What mix of mandatory/regulatory and voluntary/“self-regulatory” approaches has been utilized in different situations to advance human rights objectives? Which approaches have been most effective?
How are various business and human rights challenges playing out in specific sectors, and how do these inform the debate about different approaches?
To address these and other key questions, the course will begin with several sessions setting out the relevant legal and policy developments, with special attention to the UNGPs. It will also include a review of different stakeholders and their roles and interests, and examination of concepts of corporate responsibility and corporate accountability, and an analysis of the various approaches to business and human rights advanced by companies, governments, labor, civil society, and through multi-stakeholder initiatives. The second half of the semester will then focus on how these concepts are being applied in particular sectors to address specific business and human rights challenges.
Throughout the course, students will be asked to examine the various approaches and differing roles of key stakeholders, including by playing the roles of those addressing the key issues from the perspectives of corporations, civil society and unions, and governments. The class will be divided into three groups for purposes of this “role playing” -- with each asked to adopt all three perspectives during the course of the semester, both in students’ individual analyses of assigned readings and in group sessions during certain classes.
Learning Objectives:
Introduction to business and human rights landscape, including legal and policy developments, particularly the UN Guiding Principles on Business and Human Rights. The course reviews different stakeholders and roles, examines concepts of corporate responsibility and accountability, and analyzes various approaches to business and human rights advanced by stakeholders. The course will also familiarize students with sector specific business and human rights challenges.",LAW 370 v02,Business and Human Rights in the Global Economy,Limit: Varies by section,,,"Recommended:
There are no formal course requirements, but some basic familiarity with international trade and human rights law is assumed.","Mutually Excluded Courses:
Students may not receive credit for both this seminar and the practicum course Business and Human Rights.",Margaret Ellen Roggensack,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIzMjc4,Sarah A. Altschuller,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTIzMzc3,Eric Biel,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzE4OTUx,T 5:45pm-7:45pm (1/16 to 4/27)
"This seminar will examine recent litigation in the Supreme Court involving the modern civil rights statutes: Title VII, Title IX, RFRA, the ADEA, the ADA, the Fair Housing Act, and Sections 2 and 5 of the Voting Rights Act. Toward that end, we will read recent cases decided by the Court interpreting theses statutes, and the cases that form the backdrop for those decisions. We will also examine briefs and oral arguments in some of these cases. Finally, we will examine civil rights cases that are scheduled to be heard in the upcoming term, or that may make their way to the Court in the near future. There will be one writing assignment, a paper of approximately 25 pages in length. Two-thirds of the grade will be based on the paper, and one-third will be based on class participation.",LAW 1322 v00,Civil Rights Statutes and the Supreme Court Seminar,Limit: 20,,,"Recommended:
Constitutional Law II: Individual Rights and Liberties.",,Irving L. Gornstein,https://www.law.georgetown.edu/faculty/?redirect=RzAwNDM4NDg2,Sri Srinivasan,https://www.law.georgetown.edu/faculty/?redirect=RzAwNjU5Nzkx,,,M 3:30pm-5:30pm (1/16 to 4/27)
"By providing a rich historical introduction to the histories of various groups of color in the United States and their encounters with white Europeans and their descendants, we will explore the themes of race and racism in a variety of doctrinal contexts. We will examine federal and state cases and legislation, which have defined the scope and limitations historically faced by minorities over time from the point of slavery to modern day. We will also examine how early social and economic realities have shaped society’s and thus the court’s view of the role of minorities in America.  Finally, we will study major cases leading to systemic change and the advancement of equal justice and at times retrenchment.
The overall themes and reading assignments for this course are directly related to Georgetown’s Institutional Learning Outcomes (ILO). Specifically, this course provides students the ability to think critically about the connections between race, history, and legal doctrine or law, and the differential effects that has on minority groups. 
Learning Objectives:
This course will enable students to enhance their critical thinking skills, examine and analyze legal precedents, and develop or improve their advocacy skills and legal writing.
We will examine throughout the semester why and how the law uses racial identifications in theory and in practice, which will require students to think critically about the powerful and ingrained modes of thinking about race and the impact that has on the law’s claim to neutrality. We will begin with a discussion on implicit bias and how it provides a background for understanding the twists and turns over the years of the notions of race in America. Students will then use this understanding throughout the remainder of the course to think critically about the role of implicit bias in the law as it pertains to race, ethnicity, and culture.
 ",LAW 1841 v00,Civil Rights: The Ensuing Pursuit of Justice,Limit: Varies by section,,,,,Anita Josey-Herring,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTk0Mzc3,,,,,Th 5:45pm-7:45pm (1/16 to 4/27)
This section is full,LAW 004 v00,Constitutional Law I: The Federal System,,,,,,,,,,,,
"For more than a century, court decisions have lagged advances in technology. The advent of the Internet and developments in artificial intelligence, particularly generative artificial intelligence, have accelerated this gap. This course explores how federal courts are tackling disruptive technologies and digital challenges. The focus will be on a few select areas, including speech, Section 230 of the Communications in Decency Act, privacy, and artificial intelligence, though in reality the lines are blurred between these topics. We will look at cases that serve as the analytical foundation for these issues and consider contemporary judicial efforts to address the shifting legal and digital landscape in an ambiguous environment. Students will have an opportunity to engage in structured, in-class debates and exercises to highlight conflicting views in this arena. The course will also address how judges are engaging with technology in their chambers and courtrooms and how this engagement may impact the decision-making process.",LAW 1881 v00,Constitutional Law: Federal Courts Tackle the Digital World,,,"Note:
WEEK ONE COURSE. This seminar will meet for one week only, on the following days: Monday, January 8, 2024, through Thursday, January 11, 2024, 9:00 a.m. - 12:20 p.m. This course is mandatory pass/fail and will not count toward the 7 credit pass/fail limit for J.D. students.
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety may result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Withdrawals are permitted up until the last class for this specific course.","Recommended:
Constitutional Law",,M. Margaret McKeown,https://www.law.georgetown.edu/faculty/?redirect=RzAwMTQwMzM4,,,,,MTWTh 9:00am-12:20pm (1/8 to 1/11)
"This course will provide students the opportunity for intense and detailed study of cutting-edge issues arising under the Free Speech Clause of the First Amendment and the right to keep and bear arms under the Second Amendment. Students will be required to read foundational Supreme Court cases in full (including concurrences and dissents) to enable them to discuss and debate the decisions and the analytical approaches used to reach them.
Learning Objectives:
By the end of the week, I hope you will have learned to:
Understand more deeply First and Second Amendment jurisprudence;
Appreciate how difficult it is for the Supreme Court to decide close cases;
Express your thoughts clearly and concisely and to disagree with colleagues without being disagreeable;
See virtue in reading cases in their entirety, rather than in excerpt form;
Recognize different judicial philosophies in Supreme Court opinions;
Identify premises justices use as starting points for their analyses; and
Write an exam that reflects command of First and Second Amendment cases.",LAW 1538 v00,Constitutional Law: The First and Second Amendments,Limit: 54,"Prerequisite:
Constitutional Law II: Individual Rights and Liberties.","Note:
WEEK ONE COURSE. This seminar will meet for one week only on the following days: Monday, January 8, 2024, through Thursday, January 11, 2024, 1:30 p.m. - 4:50 p.m. The course will have a take-home exam that must be completed during the week of Friday, January 19th through Friday, January 26th, 2024.  This course is mandatory pass/fail and will not count toward the 7 credit pass/fail limit for J.D. students.
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety may result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Withdrawals are permitted up until the last class for this specific course.",,,Thomas Michael Hardiman,https://www.law.georgetown.edu/faculty/?redirect=RzAwMDA1NjE5,,,,,MTWTh 1:30pm-4:50pm (1/8 to 1/11)
"This seminar will explore the practice and strategy of constitutional litigation through a close study of recent constitutional challenges to Executive Branch action.
We will begin with a brief overview of major trends in constitutional litigation against the Executive Branch. We will then address specific cases, examining the course of each litigation and exploring key strategic judgments made by parties, amici, and judges. Students will leave the course familiar with every stage of a constitutional case, from the initial announcement of an Executive Branch policy, to the decision to file suit and the drafting of a complaint, to litigation at every level of the Judiciary and in the court of public opinion, to the varied challenges that may follow a successful lawsuit. Along the way, we will consider the strategy and incentives of different litigants—including civil rights groups, private parties, cities, states, and legislators. We will also study the goals and strategies of lawyers charged with defending Executive Branch action.
Although this list is subject to change in light of ongoing developments, we likely will cover many of the following topics:
President Trump’s ""travel ban""
The exclusion of transgender persons from military service
Don't Ask, Don't Tell
The Defense of Marriage Act (DOMA)
DACA and DAPA
Threats to revoke federal funds from sanctuary cities
The (unsuccessful) addition of a citizenship question on the 2020 Census
Requests by juvenile undocumented migrants to exercise abortion rights
The challenge to President Trump’s policy of blocking critics on Twitter
President Trump's compliance (or lack thereof) with the Emoluments Clauses
Efforts by the House of Representatives to compel testimony by former officials
Efforts by cities, states, and the House to obtain President Trump’s tax returns
The impeachments of President Trump
Each week, students will study relevant court filings and opinions (from district courts all the way to the Supreme Court), complemented by contemporaneous legal commentary. We will expect all students to prepare for—and participate in—classroom discussion.",LAW 1512 v00,Constitutional Litigation and the Executive Branch,,"Prerequisite:
Civil Procedure or Legal Process and Society; Constitutional Law I: The Federal System or Democracy and Coercion.",,,,Joshua Matz,https://www.law.georgetown.edu/faculty/?redirect=RzAwNzY2MzU2,Raymond Patrick Tolentino,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjU1MTcz,,,Th 11:10am-1:10pm (1/16 to 4/27)
"This course will introduce students to the law and practice of corporate compliance, with particular reference to the financial sector and a critical compliance area for that sector: anti-money laundering and counter-terrorism financing (AML/CFT). Through mini-lectures, simulation exercises (e.g., drafting of corporate compliance policies, in-house client counseling on compliance issues, briefings of senior executives on key compliance issues, identification of compliance failures, and reporting of potential wrongdoing to law enforcement and regulators), and oral and written feedback, students gain exposure to the key skill sets that lawyers performing corporate-compliance roles routinely use. This course can also serve as an introduction to materials covered in upper level elective courses such as Federal White Collar Crime or International White Collar Crime. The course does not require students to have any prior exposure to corporate-compliance issues from their first-semester courses.
For class each day, students will have certain assigned readings before class (which may include scenario-based fact patterns and mock documents for the next day’s exercises), and handle questioning in mini-problems involving witness questioning in both civil and criminal practice. The scenario for the course, as it expands during Week One, is expected to include situations such as (1) drafting and markup of a corporate AML/CFT policy to ensure appropriate inclusion of legal and other requirements pertinent to the topic; (2) client interviews involving corporate executives and employees with questions about interpretation and implementation of the AML/CFT policy; (3) public speaking to corporate executives, in the form of concise briefings on key AML/CFT-related issues and developments; (3) identification of potential AML/CFT compliance failures through questioning of corporate executives and employees; (4) reporting of potential wrongdoing to law enforcement and regulators through Suspicious Activity Reports; and (5) recommendations of possible disciplinary action against selected corporate executives and employees who appear to have engaged in various forms of misconduct. Students can expect to participate in each of the scenario-based exercises each day of class and to enhance their and their classmates’ learning through a highly participatory and supportive environment.",LAW 611 v16,Corporate Compliance in the Financial Sector: Anti-Money Laundering and Counter-Terrorism Financing,Limit: 24,,"Note:
This course is mandatory pass/fail, and does NOT count against the 7-credit pass/fail limit for J.D. students.
This optional, elective course is for first-year J.D. students only. Details regarding the registration process will be provided to students during the fall semester via email, information sessions, and on the Week One website.
ATTENDANCE AT ALL CLASS SESSIONS IS MANDATORY. All enrolled students must be in attendance at the start of the first class session in order to be eligible for a seat in the class and must attend each class session in its entirety. For more information, please see the Week One website.
Due to the intensive nature of the course, the small-group, team, and individual work that is involved, and the preparation that is necessary to ensure a positive student experience, students who wish to drop the course after they have accepted a seat must drop by Monday, November 27, 2023 at 3:00 p.m. After that point, students must receive permission from both the course professor and Assistant Dean for Experiential Education to drop the course. Permission will only be granted when remaining enrolled in the course would cause significant hardship for the student. Students who are enrolled but do not attend the first class session will be withdrawn from the course.",,,Jonathan Jay Rusch,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjQ3MjMy,,,,,MTWTh 9:00am-1:00pm (1/8 to 1/11)
"In this seminar, we will explore select Criminal Procedure cases decided by the Roberts Court. In each class, we will study either one or two cases in depth. Topics may include search and seizure, exceptions to the warrant requirement, excessive force, ineffective assistance of counsel, right to jury trial, double jeopardy, the right to confront witnesses, and Bivens liability, among others. Before each class, we will provide students with notes and discussion questions to facilitate their preparation and guide their discussion.
Students will be required to write a final paper of 20-25 pages double-spaced on any issue relating to criminal procedure. The grade on the final paper will be the starting point for the final grade. The grade may be adjusted upward or downward by one-half grade based on class participation.",LAW 1780 v00,Criminal Procedure and the Roberts Court Seminar,Limit: Varies by section,"Prerequisite:
Criminal Justice (or Democracy and Coercion) or Criminal Procedure.",,,,Irving L. Gornstein,https://www.law.georgetown.edu/faculty/?redirect=RzAwNDM4NDg2,Pamela Harris,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIwODQ2,,,Th 3:30pm-5:30pm (1/16 to 4/27)
